"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
5.192328120E-1,3.000000119E-2,3.300000131E-1,1.047600079E1
5.216761210E-1,3.705000132E-2,3.810000122E-1,1.048995018E1
5.241195810E-1,1.210500076E-1,4.429500103E-1,1.051905060E1
5.265628910E-1,1.260000020E-1,4.960500300E-1,1.057395077E1
5.290063500E-1,5.205000192E-2,6.510000229E-1,1.065105057E1
5.314497220E-1,-1.429500133E-1,8.140500188E-1,1.073205090E1
5.338931060E-1,-2.850000262E-1,9.529500604E-1,1.081095028E1
5.363364910E-1,-3.469500244E-1,1.048950076E0,1.089495087E1
5.387798760E-1,-3.760500252E-1,1.101000071E0,1.087305069E1
5.412232600E-1,-3.090000153E-1,1.135050058E0,1.080405045E1
5.436666440E-1,-3.210000098E-1,1.204050064E0,1.067895031E1
5.461100280E-1,-4.600500166E-1,1.314000010E0,1.045395088E1
5.485534120E-1,-5.269500017E-1,1.393050075E0,1.019595051E1
5.509967970E-1,-5.290500522E-1,1.486950040E0,1.003095055E1
5.534401820E-1,-5.220000148E-1,1.543950081E0,9.886950493E0
5.558835620E-1,-4.930500090E-1,1.627950072E0,9.832050323E0
5.583268710E-1,-4.330500066E-1,1.683000088E0,9.826950073E0
5.607702530E-1,-4.189500213E-1,1.756950140E0,9.834000587E0
5.632136380E-1,-3.760500252E-1,1.815000057E0,9.874950409E0
5.656570230E-1,-3.160500228E-1,1.798050046E0,9.885000229E0
5.681004600E-1,-2.269500047E-1,1.759950042E0,9.838950157E0
5.705438470E-1,-1.290000081E-1,1.684950113E0,9.742950439E0
5.729872310E-1,5.700000376E-2,1.591950059E0,9.595050812E0
5.754306160E-1,2.790000141E-1,1.522950053E0,9.427050591E0
5.778740010E-1,5.470499992E-1,1.386000037E0,9.196950912E0
5.803173800E-1,8.280000687E-1,1.326000094E0,8.991000175E0
5.827607650E-1,1.125000000E0,1.231050014E0,8.821050644E0
5.852041490E-1,1.420950055E0,1.092000008E0,8.701950073E0
5.876475330E-1,1.645950079E0,1.009950042E0,8.686950684E0
5.900909170E-1,1.804050088E0,8.950500488E-1,8.698950768E0
5.925342870E-1,1.897950053E0,8.070000410E-1,8.749950409E0
5.949776720E-1,1.872000098E0,6.990000606E-1,8.773950577E0
5.974210570E-1,1.824000120E0,6.540000439E-1,8.756999969E0
5.998644420E-1,1.705950022E0,6.420000196E-1,8.742000580E0
6.023078270E-1,1.560000062E0,6.540000439E-1,8.710950851E0
6.047511980E-1,1.441050053E0,6.940500140E-1,8.677950859E0
6.071945830E-1,1.285050035E0,7.180500627E-1,8.593950272E0
6.096378910E-1,1.153050065E0,7.420500517E-1,8.447999954E0
6.120813500E-1,1.077000022E0,8.239500523E-1,8.263950348E0
6.145246600E-1,1.038000107E0,9.409500360E-1,8.158050537E0
6.169681200E-1,1.033950090E0,1.045950055E0,8.095950127E0
6.194115060E-1,9.949500561E-1,1.164000034E0,8.122050285E0
6.218548910E-1,9.469500184E-1,1.309950113E0,8.248950005E0
