"Time (s)","Magnetic field x (µT)","Magnetic field y (µT)","Magnetic field z (µT)"
5.700782566E0,-3.300000191E0,2.137500000E1,3.800625229E1
5.720785961E0,-2.625000000E0,2.167500114E1,3.766875076E1
5.740784221E0,-2.737500191E0,2.161875153E1,3.849375153E1
5.760778885E0,-2.531250000E0,2.135625076E1,3.796875000E1
5.780749148E0,-2.793750048E0,2.109375000E1,3.725625229E1
5.800754770E0,-2.606250048E0,2.115000153E1,3.808125305E1
5.820767287E0,-2.700000048E0,2.109375000E1,3.746250153E1
5.840773515E0,-3.018750191E0,2.160000038E1,3.748125076E1
5.860808064E0,-3.318750143E0,2.167500114E1,3.789375305E1
5.880796902E0,-2.718750000E0,2.124375153E1,3.819375229E1
5.900794051E0,-3.300000191E0,2.160000038E1,3.748125076E1
5.920787361E0,-3.318750143E0,2.154375076E1,3.830625153E1
5.940788989E0,-3.112500191E0,2.150625038E1,3.716250229E1
5.960784782E0,-3.000000000E0,2.124375153E1,3.819375229E1
5.980790057E0,-3.018750191E0,2.178750038E1,3.748125076E1
6.000790036E0,-2.512500048E0,2.105625153E1,3.796875000E1
6.020785735E0,-2.812500000E0,2.145000076E1,3.819375229E1
6.040789531E0,-3.131250143E0,2.173125076E1,3.841875076E1
6.060788531E0,-2.925000191E0,2.154375076E1,3.830625153E1
6.080795081E0,-2.812500000E0,2.148750114E1,3.757500076E1
6.100785901E0,-3.206250191E0,2.148750114E1,3.768750000E1
6.120784520E0,-2.550000191E0,2.133750153E1,3.984375000E1
6.140779491E0,-3.206250191E0,2.115000153E1,3.840000153E1
6.160783006E0,-3.018750191E0,2.156250000E1,3.789375305E1
6.180838263E0,-2.925000191E0,2.176875114E1,3.778125000E1
6.200831971E0,-2.625000000E0,2.156250000E1,3.787500000E1
6.220821299E0,-2.925000191E0,2.158125114E1,3.778125000E1
6.240807764E0,-2.137500048E0,2.122500038E1,3.826875305E1
6.260804372E0,-2.925000191E0,2.156250000E1,3.798750305E1
6.280797907E0,-3.300000191E0,2.158125114E1,3.780000305E1
6.300800311E0,-3.206250191E0,2.156250000E1,3.810000229E1
6.320754187E0,-3.225000143E0,2.175000000E1,3.821250153E1
6.340758455E0,-2.718750000E0,2.141250038E1,3.870000076E1
6.360759322E0,-3.506250143E0,2.154375076E1,3.853125000E1
6.380768039E0,-3.000000000E0,2.116875076E1,3.798750305E1
6.400805556E0,-2.906250000E0,2.124375153E1,3.819375229E1
6.420796882E0,-3.412500143E0,2.154375076E1,3.862500000E1
6.440796445E0,-3.300000191E0,2.146875000E1,3.821250153E1
6.460791509E0,-3.225000143E0,2.173125076E1,3.851250076E1
6.480794745E0,-2.925000191E0,2.175000000E1,3.819375229E1
6.500791579E0,-3.037500143E0,2.193750000E1,3.841875076E1
6.520798046E0,-2.718750000E0,2.122500038E1,3.840000153E1
6.540798643E0,-3.225000143E0,2.178750038E1,3.757500076E1
6.560794942E0,-2.925000191E0,2.145000076E1,3.819375229E1
6.580787727E0,-3.018750191E0,2.146875000E1,3.778125000E1
6.600789521E0,-3.187500238E0,2.130000114E1,3.748125076E1
6.620787089E0,-3.018750191E0,2.167500114E1,3.778125000E1
6.640782629E0,-2.925000191E0,2.146875000E1,3.798750305E1
6.660785010E0,-2.625000000E0,2.135625076E1,3.787500000E1
6.680782869E0,-2.718750000E0,2.137500000E1,3.766875076E1
6.700777363E0,-2.531250000E0,2.176875114E1,3.766875076E1
6.720837196E0,-2.812500000E0,2.156250000E1,3.778125000E1
6.740822910E0,-2.606250048E0,2.126250076E1,3.796875000E1
6.760817235E0,-3.018750191E0,2.135625076E1,3.819375229E1
6.780808306E0,-3.131250143E0,2.163750076E1,3.862500000E1
6.800796740E0,-2.925000191E0,2.145000076E1,3.830625153E1
6.820794483E0,-2.812500000E0,2.113125038E1,3.840000153E1
6.840789832E0,-3.093750238E0,2.098125076E1,3.789375305E1
6.860749899E0,-2.718750000E0,2.122500038E1,3.840000153E1
6.880759063E0,-3.187500238E0,2.098125076E1,3.798750305E1
6.900763692E0,-3.300000191E0,2.148750114E1,3.780000305E1
6.920775126E0,-3.787500143E0,2.128125000E1,3.800625229E1
6.940803304E0,-3.000000000E0,2.115000153E1,3.830625153E1
6.960798365E0,-3.393750191E0,2.126250076E1,3.830625153E1
6.980800770E0,-3.206250191E0,2.128125000E1,3.778125000E1
7.000798057E0,-3.393750191E0,2.139375114E1,3.780000305E1
7.020791589E0,-3.412500143E0,2.169375038E1,3.759375000E1
7.040792707E0,-3.487500191E0,2.107500076E1,3.821250153E1
7.060790629E0,-3.112500191E0,2.124375153E1,3.830625153E1
7.080784815E0,-3.000000000E0,2.137500000E1,3.778125000E1
7.100787509E0,-3.093750238E0,2.107500076E1,3.798750305E1
7.120785901E0,-3.600000143E0,2.124375153E1,3.853125000E1
7.140780358E0,-2.812500000E0,2.122500038E1,3.849375153E1
7.160783701E0,-2.700000048E0,2.109375000E1,3.746250153E1
7.180772758E0,-3.281250238E0,2.120625114E1,3.757500076E1
7.200781456E0,-3.300000191E0,2.115000153E1,3.851250076E1
7.220784214E0,-3.093750238E0,2.107500076E1,3.798750305E1
7.240782300E0,-3.375000238E0,2.098125076E1,3.810000229E1
7.260844534E0,-3.281250238E0,2.111250114E1,3.736875153E1
7.280831884E0,-3.075000048E0,2.049375153E1,3.766875076E1
7.300816163E0,-3.281250238E0,2.096250153E1,3.830625153E1
7.320810354E0,-3.300000191E0,2.105625153E1,3.819375229E1
7.340801439E0,-3.581250191E0,2.073750114E1,3.883125305E1
7.360790243E0,-2.700000048E0,2.098125076E1,3.746250153E1
7.380789364E0,-3.093750238E0,2.075625038E1,3.830625153E1
7.400741291E0,-3.600000143E0,2.124375153E1,3.853125000E1
7.420744370E0,-3.206250191E0,2.124375153E1,3.851250076E1
7.440755497E0,-3.581250191E0,2.107500076E1,3.832500076E1
