"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
1.859063078E2,1.110499167E1,7.735279167E1,2.851227569E2,3.707544088E0,3.391300049E2,2.099999905E0,1.100000000E1
1.869076795E2,1.110502167E1,7.735278000E1,2.849226509E2,3.605114460E0,3.360599976E2,2.099999905E0,1.100000000E1
1.879080995E2,1.110505167E1,7.735277000E1,2.855225452E2,3.459962845E0,3.315100098E2,1.700000048E0,1.000000000E1
1.889089372E2,1.110507833E1,7.735276333E1,2.863224515E2,3.376063108E0,3.366199951E2,1.500000000E0,9.600000381E0
1.899088416E2,1.110511000E1,7.735275000E1,2.863223395E2,3.407975912E0,3.312900085E2,1.500000000E0,9.500000000E0
1.909090807E2,1.110514833E1,7.735273000E1,2.866222035E2,3.579378366E0,3.348399963E2,1.500000000E0,9.399999619E0
1.919053129E2,1.110519167E1,7.735270667E1,2.866220495E2,3.781664133E0,3.330400085E2,1.500000000E0,8.399999619E0
1.929108749E2,1.110523833E1,7.735267833E1,2.869218833E2,4.005568504E0,3.281099854E2,1.500000000E0,8.399999619E0
1.939057120E2,1.110528333E1,7.735265167E1,2.873217231E2,4.261385441E0,3.313599854E2,1.600000024E0,8.399999619E0
1.949097736E2,1.110533333E1,7.735262500E1,2.875215455E2,4.511540413E0,3.313699951E2,1.500000000E0,8.399999619E0
1.959097216E2,1.110538333E1,7.735259500E1,2.872213675E2,4.785887241E0,3.329800110E2,1.600000024E0,8.500000000E0
1.969112475E2,1.110543500E1,7.735256833E1,2.873211841E2,5.128177643E0,3.326700134E2,1.500000000E0,8.600000381E0
1.979081386E2,1.110548667E1,7.735254000E1,2.875210005E2,5.471497059E0,3.335299988E2,2.000000000E0,9.100000381E0
1.989070373E2,1.110553000E1,7.735251667E1,2.876208465E2,5.586280346E0,3.364400024E2,2.099999905E0,9.399999619E0
1.999101287E2,1.110556500E1,7.735249833E1,2.878207222E2,5.528631210E0,3.313299866E2,2.099999905E0,9.800000191E0
2.009132072E2,1.110559000E1,7.735248167E1,2.880206330E2,5.345390320E0,3.247099915E2,2.099999905E0,9.800000191E0
2.019043601E2,1.110561333E1,7.735246500E1,2.881205495E2,5.175531864E0,3.294599915E2,2.000000000E0,9.800000191E0
2.029076604E2,1.110564333E1,7.735244500E1,2.881204424E2,5.046851158E0,3.196400146E2,2.000000000E0,9.699999809E0
2.039108831E2,1.110566833E1,7.735241667E1,2.883203515E2,4.801328659E0,3.004500122E2,2.099999905E0,9.899999619E0
2.049073289E2,1.110567667E1,7.735238500E1,2.883203182E2,4.524922848E0,2.779400024E2,2.099999905E0,9.899999619E0
2.059120046E2,1.110567333E1,7.735234333E1,2.884203241E2,4.322637081E0,2.658099976E2,2.099999905E0,9.899999619E0
2.069102886E2,1.110565500E1,7.735228667E1,2.885203801E2,4.292783260E0,2.542700043E2,2.099999905E0,1.010000038E1
2.079150071E2,1.110562333E1,7.735221500E1,2.883204805E2,7.572078705E0,2.505599976E2,2.200000048E0,1.030000019E1
2.089144056E2,1.110557667E1,7.735213333E1,2.871206317E2,9.941345215E0,2.470200043E2,1.600000024E0,9.000000000E0
2.099132235E2,1.110553500E1,7.735204333E1,2.869207644E2,1.043908119E1,2.453600006E2,1.399999976E0,8.800000191E0
2.109134206E2,1.110549667E1,7.735195667E1,2.866208859E2,9.729794502E0,2.474499969E2,1.299999952E0,8.699999809E0
2.119078515E2,1.110546500E1,7.735187333E1,2.864209847E2,9.123451233E0,2.507400055E2,1.200000048E0,8.800000191E0
2.129080299E2,1.110544167E1,7.735179500E1,2.864210552E2,8.877928734E0,2.548300018E2,1.299999952E0,8.899999619E0
2.139158723E2,1.110542167E1,7.735171167E1,2.862211134E2,9.375150681E0,2.570499878E2,1.200000048E0,9.000000000E0
