"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.120072320E-1,1.169987440E0,9.710249901E-1,-9.626374841E-1
5.144506160E-1,1.183462501E0,1.018737435E0,-9.906874895E-1
5.168940010E-1,1.193225026E0,1.050500035E0,-1.008975029E0
5.193373860E-1,1.188412547E0,1.030837536E0,-1.016399980E0
5.217807700E-1,1.150462508E0,9.380249977E-1,-1.006637454E0
5.242241410E-1,1.063699961E0,7.731624842E-1,-9.699249864E-1
5.266675260E-1,9.330750108E-1,5.495874882E-1,-9.051625133E-1
5.291109100E-1,7.632625103E-1,3.064875007E-1,-8.123499751E-1
5.315542940E-1,5.702124834E-1,7.919999957E-2,-7.193999887E-1
5.339979230E-1,3.601124883E-1,-1.211374998E-1,-6.437749863E-1
5.364413100E-1,1.365374923E-1,-3.093749881E-1,-6.107749939E-1
5.388846940E-1,-8.346249908E-2,-4.779500067E-1,-6.253499985E-1
5.413280790E-1,-2.886124849E-1,-6.025249958E-1,-6.705874801E-1
5.437714640E-1,-4.621374905E-1,-6.599999666E-1,-7.158250213E-1
5.462148290E-1,-5.843750238E-1,-6.355249882E-1,-7.341125011E-1
5.486582140E-1,-6.454250216E-1,-5.450500250E-1,-7.108749747E-1
5.511015990E-1,-6.393749714E-1,-4.327124953E-1,-6.437749863E-1
5.535449830E-1,-5.781875253E-1,-3.324750066E-1,-5.447750092E-1
5.559883670E-1,-4.731374979E-1,-2.726624906E-1,-4.274874926E-1
5.584317560E-1,-3.412750065E-1,-2.616625130E-1,-3.089624941E-1
5.608751400E-1,-1.909874976E-1,-2.836624980E-1,-1.953874975E-1
5.633185250E-1,-3.822499886E-2,-3.093749881E-1,-9.638749808E-2
5.657619100E-1,1.132999957E-1,-3.179000020E-1,-7.149999961E-3
5.682052950E-1,2.586374879E-1,-2.946625054E-1,6.737499684E-2
5.706486940E-1,3.979249895E-1,-2.408999950E-1,1.308999956E-1
5.730921540E-1,5.372124910E-1,-1.651374996E-1,1.821874976E-1
5.755355410E-1,6.752625108E-1,-8.208750188E-2,2.212374955E-1
5.779789250E-1,8.071249723E-1,5.912499968E-3,2.444749922E-1
5.804223100E-1,9.330750108E-1,9.748750180E-2,2.505249977E-1
5.828657140E-1,1.052700043E0,1.854874939E-1,2.505249977E-1
5.853090980E-1,1.161462545E0,2.710124850E-1,2.444749922E-1
5.877524830E-1,1.256749988E0,3.540624976E-1,2.419999987E-1
5.901958670E-1,1.328799963E0,4.335374832E-1,2.359499931E-1
5.926392510E-1,1.370462537E0,5.103999972E-1,2.285249978E-1
5.950828650E-1,1.385037541E0,5.971624851E-1,2.175250053E-1
5.975260210E-1,1.377750039E0,6.814500093E-1,2.077624947E-1
5.999696350E-1,1.350800037E0,7.754999995E-1,1.955250055E-1
6.024130210E-1,1.301987529E0,8.794500232E-1,1.832875013E-1
6.048564060E-1,1.238462448E0,9.894499779E-1,1.577125043E-1
6.072997770E-1,1.158987522E0,1.094499946E0,1.234750003E-1
6.097431610E-1,1.067412496E0,1.189787507E0,7.466249913E-2
6.121865460E-1,9.769374728E-1,1.236124992E0,1.594999991E-2
6.146299300E-1,8.938875198E-1,1.267887473E0,-7.204999775E-2
6.170733290E-1,8.218374848E-1,1.324125051E0,-2.271499932E-1
6.195167890E-1,7.473124862E-1,1.371837497E0,-4.507249892E-1
6.219601750E-1,6.385499835E-1,1.377887487E0,-6.718249917E-1
6.244035600E-1,4.919750094E-1,1.352174997E0,-8.160625100E-1
6.268469440E-1,3.416875005E-1,1.343649983E0,-8.978750110E-1
6.292903340E-1,2.121624947E-1,1.358362436E0,-9.613999724E-1
6.317337190E-1,1.058750004E-1,1.381600022E0,-1.041975021E0
6.341771030E-1,1.801249944E-2,1.393837452E0,-1.137262464E0
6.366204870E-1,-5.527500063E-2,1.397412539E0,-1.236262441E0
6.390638710E-1,-1.090374961E-1,1.394937515E0,-1.335262537E0
6.415072690E-1,-1.469874978E-1,1.376649976E0,-1.417075038E0
6.439506540E-1,-1.567499936E-1,1.346125007E0,-1.480599999E0
6.463940390E-1,-1.469874978E-1,1.310649991E0,-1.520887494E0
6.488374240E-1,-1.127500013E-1,1.272837520E0,-1.538074970E0
6.512810380E-1,-6.270000339E-2,1.236124992E0,-1.539312482E0
6.537244490E-1,-1.649999991E-3,1.199550033E0,-1.529549956E0
6.561678340E-1,7.053750008E-2,1.164075017E0,-1.514837503E0
6.586112180E-1,1.535875052E-1,1.127499938E0,-1.496549964E0
6.610546030E-1,2.501125038E-1,1.084737539E0,-1.474550009E0
6.634979880E-1,3.551625013E-1,1.041975021E0,-1.451312542E0
6.659413960E-1,4.626874924E-1,9.992125034E-1,-1.420787454E0
6.683847810E-1,5.714499950E-1,9.539750218E-1,-1.382837534E0
6.708281650E-1,6.654999852E-1,8.977375031E-1,-1.337737441E0
6.732716250E-1,7.485499978E-1,8.329749703E-1,-1.290024996E0
6.757149350E-1,8.193625212E-1,7.658749819E-1,-1.246024966E0
6.781584090E-1,8.780750036E-1,6.986374855E-1,-1.206974983E0
6.806017960E-1,9.233124852E-1,6.424000263E-1,-1.169024944E0
6.830451800E-1,9.561749697E-1,6.045874953E-1,-1.129974961E0
6.854885650E-1,9.818875194E-1,5.886374712E-1,-1.088449955E0
6.879319500E-1,9.978374839E-1,5.898749828E-1,-1.045687437E0
6.903753240E-1,1.006362438E0,6.021124721E-1,-1.005399942E0
6.928187090E-1,1.009937525E0,6.228749752E-1,-9.651125073E-1
6.952620940E-1,1.011175036E0,6.473500133E-1,-9.333499670E-1
6.977054780E-1,1.009937525E0,6.778749824E-1,-9.051625133E-1
7.001490920E-1,1.011175036E0,7.132124901E-1,-8.893499970E-1
7.025924830E-1,1.017362475E0,7.511624694E-1,-8.795874715E-1
7.050358680E-1,1.024649978E0,7.914500237E-1,-8.771125078E-1
7.074792520E-1,1.042937517E0,8.281624913E-1,-8.831624985E-1
7.099226370E-1,1.062462449E0,8.659750223E-1,-8.868749738E-1
7.123660220E-1,1.089412451E0,9.026874900E-1,-8.893499970E-1
7.148094160E-1,1.119937539E0,9.405000210E-1,-8.868749738E-1
7.172528010E-1,1.149224997E0,9.807875156E-1,-8.795874715E-1
7.196961850E-1,1.179749966E0,1.021212459E0,-8.698250055E-1
7.221395690E-1,1.217700005E0,1.061499953E0,-8.588249683E-1
7.245829530E-1,1.261700034E0,1.100549936E0,-8.490625024E-1
7.270264080E-1,1.303225040E0,1.131075025E0,-8.453499675E-1
7.294697950E-1,1.343512535E0,1.154312491E0,-8.514000177E-1
7.319131800E-1,1.378987551E0,1.164075017E0,-8.685874939E-1
7.343565640E-1,1.404562473E0,1.158025026E0,-8.953999877E-1
7.367999490E-1,1.421749949E0,1.140837550E0,-9.296374917E-1
7.392433470E-1,1.429037452E0,1.117599964E0,-9.699249864E-1
7.416867320E-1,1.426562548E0,1.087074995E0,-1.013924956E0
7.441301170E-1,1.413087487E0,1.050500035E0,-1.059162498E0
7.465735010E-1,1.391224980E0,1.010212541E0,-1.104400039E0
7.490168850E-1,1.355749965E0,9.710249901E-1,-1.150737524E0
7.514602790E-1,1.310512543E0,9.392625093E-1,-1.200787544E0
7.539038940E-1,1.254274964E0,9.160249829E-1,-1.246024966E0
7.563472800E-1,1.187175035E0,8.989750147E-1,-1.285212517E0
7.587906650E-1,1.111412525E0,8.744999766E-1,-1.318074942E0
7.612340500E-1,1.031937480E0,8.439750075E-1,-1.345024943E0
7.636774480E-1,9.403625131E-1,8.109750152E-1,-1.359737515E0
7.661208330E-1,8.365499973E-1,7.829250097E-1,-1.368262529E0
7.685642180E-1,7.192624807E-1,7.658749819E-1,-1.365787506E0
7.710076770E-1,5.897374749E-1,7.584499717E-1,-1.358500004E0
7.734510550E-1,4.504500031E-1,7.658749819E-1,-1.349837542E0
7.758944390E-1,3.123999834E-1,7.877374887E-1,-1.341312528E0
7.783378240E-1,1.718750000E-1,8.196374774E-1,-1.330312490E0
7.807812090E-1,3.877500072E-2,8.562124968E-1,-1.321787477E0
7.832245930E-1,-8.703749627E-2,8.916875124E-1,-1.312024951E0
